Country;name;Admin1;SubDiv;Year;Updates
4030;Bulgaria;;;2017;
4030;Bulgaria;;;2018;
4030;Bulgaria;;;2019;
4030;Bulgaria;;;2020;new
1060;Cabo Verde;;;1980;
2090;Canada;;;1950;
2090;Canada;;;1951;
2090;Canada;;;1952;
2090;Canada;;;1953;
2090;Canada;;;1954;
2090;Canada;;;1955;
2090;Canada;;;1956;
2090;Canada;;;1957;
2090;Canada;;;1958;
2090;Canada;;;1959;
2090;Canada;;;1960;
2090;Canada;;;1961;
2090;Canada;;;1962;
2090;Canada;;;1963;
2090;Canada;;;1964;
2090;Canada;;;1965;
2090;Canada;;;1966;
2090;Canada;;;1967;
2090;Canada;;;1968;
2090;Canada;;;1969;
2090;Canada;;;1970;
2090;Canada;;;1971;
2090;Canada;;;1972;
2090;Canada;;;1973;
2090;Canada;;;1974;
2090;Canada;;;1975;
2090;Canada;;;1976;
2090;Canada;;;1977;
2090;Canada;;;1978;
2090;Canada;;;1979;
2090;Canada;;;1980;
2090;Canada;;;1981;
2090;Canada;;;1982;
2090;Canada;;;1983;
2090;Canada;;;1984;
2090;Canada;;;1985;
2090;Canada;;;1986;
2090;Canada;;;1987;
2090;Canada;;;1988;
2090;Canada;;;1989;
2090;Canada;;;1990;
2090;Canada;;;1991;
2090;Canada;;;1992;
2090;Canada;;;1993;
2090;Canada;;;1994;
2090;Canada;;;1995;
2090;Canada;;;1996;
2090;Canada;;;1997;
2090;Canada;;;1998;
2090;Canada;;;1999;
2090;Canada;;;2000;
2090;Canada;;;2001;
2090;Canada;;;2002;
2090;Canada;;;2003;
2090;Canada;;;2004;
2090;Canada;;;2005;
2110;Cayman Islands;;;1975;
2110;Cayman Islands;;;1976;
2110;Cayman Islands;;;1977;
2110;Cayman Islands;;;1978;
2110;Cayman Islands;;;1979;
2110;Cayman Islands;;;1981;
2110;Cayman Islands;;;1982;
2110;Cayman Islands;;;1983;
2110;Cayman Islands;;;1994;
2120;Chile;;;1955;
2120;Chile;;;1956;
2120;Chile;;;1957;
2120;Chile;;;1958;
2120;Chile;;;1959;
2120;Chile;;;1960;
2120;Chile;;;1961;
2120;Chile;;;1962;
2120;Chile;;;1963;
2120;Chile;;;1964;
2120;Chile;;;1965;
2120;Chile;;;1966;
2120;Chile;;;1967;
2120;Chile;;;1968;
2120;Chile;;;1969;
2120;Chile;;;1970;
2120;Chile;;;1971;
2120;Chile;;;1972;
2120;Chile;;;1973;
2120;Chile;;;1974;
2120;Chile;;;1975;
2120;Chile;;;1976;
2120;Chile;;;1977;
2120;Chile;;;1978;
2120;Chile;;;1979;
2120;Chile;;;1980;
2120;Chile;;;1981;
2120;Chile;;;1982;
2120;Chile;;;1983;
2120;Chile;;;1984;
2120;Chile;;;1985;
2120;Chile;;;1986;
2120;Chile;;;1987;
2120;Chile;;;1988;
2120;Chile;;;1989;
2120;Chile;;;1990;
2120;Chile;;;1991;
2120;Chile;;;1992;
2120;Chile;;;1993;
2120;Chile;;;1994;
3068;China;;A35;1987;
3068;China;;A41;1987;
3068;China;;A51;1987;
3068;China;;A35;1988;
3068;China;;A41;1988;
3068;China;;A51;1988;
3068;China;;A35;1989;
3068;China;;A41;1989;
3068;China;;A51;1989;
3068;China;;A35;1990;
3068;China;;A41;1990;
3068;China;;A51;1990;
3068;China;;A35;1991;
3068;China;;A41;1991;
3068;China;;A51;1991;
3068;China;;A35;1992;
3068;China;;A41;1992;
3068;China;;A51;1992;
3068;China;;A35;1993;
3068;China;;A41;1993;
3068;China;;A51;1993;
3068;China;;A35;1994;
3068;China;;A41;1994;
3068;China;;A51;1994;
3068;China;;A35;1995;
3068;China;;A41;1995;
3068;China;;A51;1995;
3068;China;;A35;1996;
3068;China;;A41;1996;
3068;China;;A51;1996;
3068;China;;A35;1997;
3068;China;;A41;1997;
3068;China;;A51;1997;
3068;China;;A35;1998;
3068;China;;A41;1998;
3068;China;;A51;1998;
3068;China;;A35;1999;
3068;China;;A41;1999;
3068;China;;A51;1999;
3068;China;;A35;2000;
3068;China;;A41;2000;
3068;China;;A51;2000;
3070;China: Province of Taiwan only;;;1959;
3070;China: Province of Taiwan only;;;1960;
3070;China: Province of Taiwan only;;;1961;
3070;China: Province of Taiwan only;;;1962;
3070;China: Province of Taiwan only;;;1963;
3070;China: Province of Taiwan only;;;1964;
3070;China: Province of Taiwan only;;;1965;
3070;China: Province of Taiwan only;;;1966;
3070;China: Province of Taiwan only;;;1967;
3070;China: Province of Taiwan only;;;1968;
3070;China: Province of Taiwan only;;;1969;
2130;Colombia;;;1955;
2130;Colombia;;;1956;
2130;Colombia;;;1957;
2130;Colombia;;;1958;
2130;Colombia;;;1959;
2130;Colombia;;;1960;
2130;Colombia;;;1961;
2130;Colombia;;;1962;
2130;Colombia;;;1963;
2130;Colombia;;;1964;
2130;Colombia;;;1965;
2130;Colombia;;;1966;
2130;Colombia;;;1967;
2130;Colombia;;;1968;
2130;Colombia;;;1969;
2130;Colombia;;;1970;
2130;Colombia;;;1971;
2130;Colombia;;;1972;
2130;Colombia;;;1973;
2130;Colombia;;;1974;
2130;Colombia;;;1975;
2130;Colombia;;;1976;
2130;Colombia;;;1977;
2130;Colombia;;;1978;
2130;Colombia;;;1984;
2130;Colombia;;;1985;
2130;Colombia;;;1986;
2130;Colombia;;;1991;
2130;Colombia;;;1992;
2130;Colombia;;;1993;
2130;Colombia;;;1994;
2140;Costa Rica;;;1955;
2140;Costa Rica;;;1956;
2140;Costa Rica;;;1957;
2140;Costa Rica;;;1958;
2140;Costa Rica;;;1959;
2140;Costa Rica;;;1960;
2140;Costa Rica;;;1961;
2140;Costa Rica;;;1962;
2140;Costa Rica;;;1963;
2140;Costa Rica;;;1964;
2140;Costa Rica;;;1965;
2140;Costa Rica;;;1966;
2140;Costa Rica;;;1967;
2140;Costa Rica;;;1968;
2140;Costa Rica;;;1969;
2140;Costa Rica;;;1970;
2140;Costa Rica;;;1971;
2140;Costa Rica;;;1972;
2140;Costa Rica;;;1973;
2140;Costa Rica;;;1974;
2140;Costa Rica;;;1975;
2140;Costa Rica;;;1976;
2140;Costa Rica;;;1977;
2140;Costa Rica;;;1978;
2140;Costa Rica;;;1979;
2140;Costa Rica;;;1980;
2140;Costa Rica;;;1981;
2140;Costa Rica;;;1982;
2140;Costa Rica;;;1983;
2140;Costa Rica;;;1984;
2140;Costa Rica;;;1985;
2140;Costa Rica;;;1986;
2140;Costa Rica;;;1987;
2140;Costa Rica;;;1988;
2140;Costa Rica;;;1989;
2140;Costa Rica;;;1990;
2140;Costa Rica;;;1991;
2140;Costa Rica;;;1992;
2140;Costa Rica;;;1993;
2140;Costa Rica;;;1994;
2140;Costa Rica;;;1995;
2140;Costa Rica;;;2019;
4038;Croatia;;;1985;
4038;Croatia;;;1986;
4038;Croatia;;;1987;
4038;Croatia;;;1988;
4038;Croatia;;;1989;
4038;Croatia;;;1990;
4038;Croatia;;;1991;
4038;Croatia;;;1992;
4038;Croatia;;;1993;
4038;Croatia;;;1994;
4038;Croatia;;;1995;
4038;Croatia;;;1996;
4038;Croatia;;;1997;
4038;Croatia;;;1998;
4038;Croatia;;;1999;
4038;Croatia;;;2000;
4038;Croatia;;;2001;
4038;Croatia;;;2002;
4038;Croatia;;;2003;
4038;Croatia;;;2004;
4038;Croatia;;;2005;
4038;Croatia;;;2006;
4038;Croatia;;;2007;
4038;Croatia;;;2008;
4038;Croatia;;;2009;
4038;Croatia;;;2010;
4038;Croatia;;;2011;
4038;Croatia;;;2012;
4038;Croatia;;;2013;
4038;Croatia;;;2014;
4038;Croatia;;;2015;
4038;Croatia;;;2016;
4038;Croatia;;;2017;
4038;Croatia;;;2019;
4038;Croatia;;;2020;new
2150;Cuba;;;1960;
2150;Cuba;;;1961;
2150;Cuba;;;1962;
2150;Cuba;;;1963;
2150;Cuba;;;1964;
2150;Cuba;;;1965;
2150;Cuba;;;1966;
2150;Cuba;;;1967;
2150;Cuba;;;1968;
2150;Cuba;;;1969;
2150;Cuba;;;1970;
2150;Cuba;;;1971;
